"","State","Rank","Name","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn","CrimeRate","HappyRank","HappyScore"
"254","TX",254,"Austin College","Sherman","75090-4400","www.austincollege.edu",33.646307,-96.598772,"0.5438","Private nonprofit","City","1159",47404,0,1,0,1,0,0,1,1,1,1,1,1,"43900",405.9,29,52.23
"255","PA",255,"Washington & Jefferson College","Washington","15301","www.washjeff.edu",40.171898,-80.240388,"0.4165","Private nonprofit","Suburb","NULL",51369,0,1,0,1,1,0,1,1,1,1,1,1,"48200",314.1,34,49.98
"256","OH",256,"John Carroll University","University Heights","44118-4581","sites.jcu.edu/",41.488978,-81.533103,"0.8291","Private nonprofit","Suburb","1116",46851,0,1,0,1,1,1,1,1,1,1,1,1,"48300",284.9,39,46.04
"257","RI",257,"Bryant University","Smithfield","02917-1291","www.bryant.edu",41.920149,-71.539147,"0.7508","Private nonprofit","Suburb","NULL",52507,0,1,0,1,0,0,1,1,1,1,1,1,"60300",219.2,27,52.37
"258","PA",258,"Allegheny College","Meadville","16335-3902","www.allegheny.edu",41.648068,-80.146922,"0.7177","Private nonprofit","Town","1170",51883,0,1,0,1,0,1,1,1,1,1,0,1,"44800",314.1,34,49.98
"259","MD",259,"Goucher College","Baltimore","21204-2794","www.goucher.edu",39.410175,-76.594843,"0.7569","Private nonprofit","City","NULL",52462,0,1,0,1,1,0,1,1,1,1,1,1,"42400",446.1,23,55.14
"260","GA",260,"Agnes Scott College","Decatur","30030-3770","www.agnesscott.edu",33.769996,-84.29563,"0.6772","Private nonprofit","Suburb","NULL",46124,0,0,0,0,0,0,1,1,1,1,1,1,"39600",377.3,37,47.43
"261","NY",261,"CUNY Brooklyn College","Brooklyn","11210","www.brooklyn.cuny.edu",40.631912,-73.95312,"0.3533","Public","City","1085",15117,0,1,0,1,1,0,1,1,1,1,1,1,"41400",381.8,26,52.54
"262","GA",262,"Spelman College","Atlanta","30314-4399","www.spelman.edu",33.74519,-84.410118,"0.54","Private nonprofit","City","1005",42739,0,1,0,1,1,1,1,1,1,1,0,1,"41800",377.3,37,47.43
"263","NY",263,"CUNY Hunter College","New York","10065","www.hunter.cuny.edu",40.768669,-73.964795,"0.3467","Public","City","1160",15198,0,1,0,1,1,0,1,1,1,1,1,1,"43100",381.8,26,52.54
"264","NE",264,"Nebraska Wesleyan University","Lincoln","68504-2794","www.nebrwesleyan.edu/",40.838789,-96.648414,"0.7814","Private nonprofit","City","1124",38668,0,0,0,1,1,0,1,1,1,1,1,1,"43100",280.4,8,60.65
"265","MD",265,"Washington College","Chestertown","21620-1438","www.washcoll.edu",39.217329,-76.06878,"0.5566","Private nonprofit","Town","NULL",54067,0,1,0,1,0,0,1,1,1,1,1,1,"46700",446.1,23,55.14
"266","PA",266,"Duquesne University","Pittsburgh","15282","www.duq.edu",40.437496,-79.993046,"0.7306","Private nonprofit","City","1144",43963,0,1,0,2,1,0,1,1,1,1,2,1,"60300",314.1,34,49.98
"267","WA",267,"Seattle Pacific University","Seattle","98119-1997","www.spu.edu",47.649338,-122.362923,"0.834","Private nonprofit","City","1140",47389,0,0,0,1,1,1,1,1,1,1,1,1,"44000",285.2,12,59.26
"268","NY",268,"Siena College","Loudonville","12211-1462","www.siena.edu",42.718586,-73.75153,"0.6586","Private nonprofit","Suburb","1127",47265,0,0,0,1,0,0,1,1,1,1,1,1,"50500",381.8,26,52.54
"269","CO",269,"Colorado State University-Fort Collins","Fort Collins","80523-0100","www.colostate.edu",40.574759,-105.08083,"0.8048","Public","City","1128",22929,2,1,1,1,1,1,1,1,1,1,1,1,"43600",309.1,5,61.59
"270","MA",270,"Simmons College","Boston","02115-5898","www.simmons.edu",42.3393,-71.099967,"0.5216","Private nonprofit","City","1170",52348,1,1,0,1,1,0,1,1,1,1,1,1,"51000",391.4,16,57.42
"271","NJ",271,"Seton Hall University","South Orange","07079-2697","www.shu.edu",40.742859,-74.248753,"0.7554","Private nonprofit","Suburb","1133",48457,0,1,0,1,1,0,1,1,1,1,1,1,"53400",261.2,20,56.82
"272","WA",272,"Pacific Lutheran University","Tacoma","98447-0003","www.plu.edu",47.145494,-122.445372,"0.7501","Private nonprofit","Suburb","1115",46717,0,1,0,1,1,1,1,1,1,1,1,1,"44900",285.2,12,59.26
