"","Name","Rank","City","State","Zip","Latitude","Longitude","ADMrate","Ownership","Setting","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"35","College of William and Mary",35,"Williamsburg","VA","23187-8795","37.271997","-76.709417","0.3302",1,"14","1373",28329,"0","0","0","1","0","1","1","1","1","1","1"
"36","California Institute of Technology",36,"Pasadena","CA","91125","34.139275","-118.12574","0.0883",2,"10","1545",58755,"0","0","0","1","1","1","1","0","1","1","1"
"37","University of California-Berkeley",37,"Berkeley","CA","94720","37.871969","-122.260423","0.1602",1,"16","1382",33020,"0","1","1","1","1","1","1","1","1","1","1"
"38","Colby College",38,"Waterville","ME","04901-8840","44.564211","-69.66337","0.2805",2,"11","1333",59110,"0","1","0","1","0","1","1","1","1","0","1"
"39","Colgate University",39,"Hamilton","NY","13346-1398","42.8188","-75.535","0.2624",2,"11","1369",60050,"0","1","0","1","0","1","1","1","1","0","1"
"40","Oberlin College",40,"Oberlin","OH","44074","41.29474","-82.221786","0.3272",2,"11","1349",62051,"0","1","0","1","1","1","1","1","1","0","1"
"41","University of Michigan-Ann Arbor",41,"Ann Arbor","MI","48109","42.276061","-83.743121","0.3224",1,"16","1380",26143,"0","1","1","1","1","1","1","1","1","1","1"
"42","Vanderbilt University",42,"Nashville","TN","37240","36.14443","-86.804875","0.1309",2,"17","1481",61112,"0","0","0","1","1","1","1","1","1","0","1"
"43","University of California-Los Angeles",43,"Los Angeles","CA","90095-1405","34.068892","-118.443901","0.1856",1,"16","1330",32074,"0","1","1","1","1","1","1","1","1","1","1"
"44","University of North Carolina at Chapel Hill",44,"Chapel Hill","NC","27599","35.912165","-79.050969","0.285",1,"17","1328",23978,"0","1","0","1","0","1","1","1","1","1","1"
"45","Kenyon College",45,"Gambier","OH","43022","40.374408","-82.397977","0.2506",2,"11","1332",59960,"0","0","0","0","0","1","1","1","1","0","1"
"46","Bucknell University",46,"Lewisburg","PA","17837","40.954489","-76.886275","0.3072",2,"14","1317",61060,"0","1","0","1","1","1","1","1","1","1","1"
"47","Hamilton College",47,"Clinton","NY","13323","43.047809","-75.408853","0.2635",2,"11","1393",59590,"0","1","0","1","0","1","1","1","1","0","1"
"48","College of the Holy Cross",48,"Worcester","MA","01610-2395","42.238942","-71.808627","0.4334",2,"11","NULL",57754,"0","0","0","0","0","1","1","1","1","0","1"
"49","Bates College",49,"Lewiston","ME","4240","44.105299","-70.203333","0.2542",2,"11","NULL",61000,"0","1","0","0","1","1","1","1","1","0","1"
"50","Whitman College",50,"Walla Walla","WA","99362","46.07135","-118.33016","0.4101",2,"11","1323",56600,"0","0","0","0","1","1","1","1","1","0","1"
"51","Smith College",51,"Northampton","MA","1063","42.317933","-72.638094","0.4221",2,"11","NULL",60167,"0","1","1","1","1","1","1","1","1","0","1"
"52","Lafayette College",52,"Easton","PA","18042-1768","40.700512","-75.209058","0.2975",2,"11","1300",59750,"0","1","0","1","1","1","1","1","1","0","1"
"53","Franklin and Marshall College",53,"Lancaster","PA","17604-3003","40.048045","-76.319037","0.3893",2,"11","NULL",60765,"0","1","0","1","0","1","1","1","1","1","1"
"54","Colorado College",54,"Colorado Springs","CO","80903","38.84657","-104.82422","0.179",2,"11","NULL",57400,"0","1","0","1","0","1","1","1","1","0","1"
"55","University of Rochester",55,"Rochester","NY","14627-0011","43.126437","-77.631042","0.3641",2,"14","NULL",61340,"0","1","0","1","1","1","1","1","1","1","1"
"56","Harvey Mudd College",56,"Claremont","CA","91711","34.106137","-117.710594","0.1425",2,"8","1500",63860,"0","0","0","1","1","1","1","1","1","0","0"
"57","Washington University in St Louis",57,"Saint Louis","MO","63130-4899","38.648125","-90.311639","0.1713",2,"17","1478",63755,"0","1","1","1","1","1","1","1","1","1","1"
"58","Wake Forest University",58,"Winston-Salem","NC","27106","36.135301","-80.279004","0.3441",2,"14","NULL",60210,"0","0","0","1","0","1","1","1","1","1","1"
"59","Villanova University",59,"Villanova","PA","19085-1699","40.039388","-75.345457","0.4933",2,"14","1313",58519,"0","1","0","1","1","1","1","1","1","1","1"
"60","Carnegie Mellon University",60,"Pittsburgh","PA","15213-3890","40.444616","-79.942914","0.246",2,"17","1436",61990,"0","1","1","1","1","1","1","1","1","1","1"
"61","Reed College",61,"Portland","OR","97202-8199","45.480376","-122.63064","0.3873",2,"11","1383",59595,"0","1","0","0","0","1","1","1","1","0","1"
"62","University of Southern California",62,"Los Angeles","CA","90089","34.021058","-118.283858","0.1802",2,"16","1380",62092,"0","1","1","1","1","1","1","1","1","1","1"
"63","Johns Hopkins University",63,"Baltimore","MD","21218-2688","39.32838","-76.620799","0.1608",2,"17","1439",61481,"0","1","0","1","1","1","1","1","1","1","1"
"64","Macalester College",64,"Saint Paul","MN","55105-1899","44.936709","-93.169855","0.3635",2,"11","1354",57478,"0","1","0","1","0","1","1","1","1","0","1"
"65","University of Wisconsin-Madison",65,"Madison","WI","53706-1380","43.073858","-89.405356","0.5694",1,"16","1286",23839,"1","1","1","1","1","1","1","1","1","1","1"
"66","Bryn Mawr College",66,"Bryn Mawr","PA","19010","40.028541","-75.314988","0.4047",2,"11","1313",59760,"0","0","0","1","0","1","1","1","1","0","1"
"67","University of Illinois at Urbana-Champaign",67,"Champaign","IL","61820-5711","40.108864","-88.230309","0.5904",1,"16","1326",29086,"1","1","1","1","1","1","1","1","1","1","1"
"68","Grinnell College",68,"Grinnell","IA","50112-1690","41.747048","-92.721246","0.2801",2,"11","1398",56354,"0","0","0","1","0","1","1","1","1","0","1"
"69","Brandeis University",69,"Waltham","MA","02454-9110","42.364947","-71.254716","0.3522",2,"14","1369",61023,"0","1","0","1","0","1","1","1","1","1","1"
"70","Emory University",70,"Atlanta","GA","30322","33.798836","-84.325782","0.2682",2,"17","1366",59908,"0","1","0","1","0","1","1","1","1","1","1"
"71","University of Washington-Seattle Campus",71,"Seattle","WA","98195-4550","47.656213","-122.313115","0.5521",1,"15","1240",25637,"1","1","1","1","1","1","1","1","1","1","1"
"72","Lehigh University",72,"Bethlehem","PA","18015","40.607158","-75.378887","0.3427",2,"14","1326",57043,"0","1","1","1","1","1","1","1","1","1","1"
"73","New York University",73,"New York","NY","10012-1091","40.729452","-73.997264","0.3545",2,"16","1344",61958,"0","0","0","1","1","1","1","1","2","2","1"
"74","University of Florida",74,"Gainesville","FL","32611","29.649428","-82.339958","0.4561",1,"15","1273",20085,"1","1","2","1","1","2","1","2","2","2","1"
"75","Boston University",75,"Boston","MA","2215","42.349581","-71.09984","0.3451",2,"17","1300",61396,"0","0","1","1","1","1","1","1","1","1","1"
"76","Dickinson College",76,"Carlisle","PA","17013-2896","40.202796","-77.197854","0.4809",2,"11","NULL",60109,"0","1","0","1","0","1","1","1","1","1","1"
"77","Connecticut College",77,"New London","CT","06320-4196","41.379833","-72.107321","0.376",2,"11","NULL",60682,"0","0","1","1","0","1","1","1","1","0","1"
"78","AI Miami International University of Art and Design",78,"Miami","FL","33132-1418","25.790008","-80.18839","NULL",3,"10","NULL",29975,"0","0","0","1","0","0","0","0","0","1","0"
"79","Scripps College",79,"Claremont","CA","91711-3905","34.103655","-117.711336","0.284",2,"8","1360",61370,"0","1","0","1","1","1","1","1","1","1","1"
"80","Skidmore College",80,"Saratoga Springs","NY","12866","43.092696","-73.785108","0.3734",2,"11","1241",60900,"0","1","0","1","0","1","1","1","1","1","1"
"81","Brigham Young University-Idaho",81,"Rexburg","ID","83460-1690","43.815384","-111.784728","0.9962",2,"15","1041",11139,"1","1","0","2","1","1","1","1","1","2","1"
"82","Santa Clara University",82,"Santa Clara","CA","95053","37.352706","-121.938189","0.4935",2,"14","1309",59020,"0","1","0","1","1","1","1","1","1","1","1"
"83","California Institute of Technology",83,"Pasadena","CA","91125","34.139275","-118.12574","0.0883",2,"10","1545",58755,"0","0","0","1","1","1","1","0","1","1","1"
"84","Kalamazoo College",84,"Kalamazoo","MI","49006-3295","42.290382","-85.601317","0.6965",2,"11","1239",50800,"0","0","0","1","0","1","1","1","1","1","1"
"85","DePauw University",85,"Greencastle","IN","46135-1772","39.63953","-86.863556","0.566",2,"11","1213",53410,"0","1","0","1","0","1","1","1","1","0","1"
"86","Cooper Union for the Advancement of Science and Art",86,"New York","NY","10003-7120","40.72938","-73.990516","0.1506",2,"6","1388",57429,"0","0","1","0","1","0","0","0","0","0","0"
"87","The University of Texas at Austin",87,"Austin","TX","78712","30.286598","-97.73924","0.3966",1,"15","1296",25918,"0","0","1","1","1","1","1","1","1","1","1"
"88","Sewanee-The University of the South",88,"Sewanee","TN","37383-1000","35.20443","-85.917772","0.647",2,"11","NULL",47970,"0","1","0","1","0","1","1","1","1","0","1"
"89","University of Georgia",89,"Athens","GA","30602","33.956428","-83.374049","0.5572",1,"16","1248",21981,"1","1","1","1","1","1","1","1","1","1","1"
"90","Rhodes College",90,"Memphis","TN","38112-1690","35.154424","-89.989187","0.5999",2,"11","1296",52958,"0","1","0","1","0","1","1","1","1","1","1"
"91","Denison University",91,"Granville","OH","43023-0713","40.072582","-82.520625","0.5553",2,"11","NULL",56520,"0","1","0","1","0","1","1","1","1","0","1"
"92","Occidental College",92,"Los Angeles","CA","90041-3392","34.126224","-118.210783","0.4204",2,"11","1300",63363,"0","1","0","1","0","1","1","1","1","0","1"
"93","Centre College",93,"Danville","KY","40422-1394","37.645102","-84.779175","0.7157",2,"11","1263",47897,"0","1","0","1","0","1","1","1","1","0","1"
"94","University of Richmond",94,"University of Richmond","VA","23173","37.577625","-77.538702","0.318",2,"14","1337",57535,"0","1","0","1","0","1","1","1","1","1","1"
"95","Mount Holyoke College",95,"South Hadley","MA","01075-1489","42.257588","-72.573625","0.547",2,"11","NULL",55454,"0","1","1","1","0","1","1","1","1","0","1"
"96","George Washington University",96,"Washington","DC","20052","38.89865","-77.047871","0.4379",2,"17","1297",61394,"0","1","0","1","1","1","1","1","1","1","1"
"97","Babson College",97,"Wellesley","MA","02457-0310","42.296529","-71.269479","0.2631",2,"11","1272",60494,"0","0","0","0","0","0","0","0","0","2","0"
"98","St Olaf College",98,"Northfield","MN","55057-1098","44.462884","-93.183633","0.5128",2,"14","1292",51860,"0","1","0","1","0","1","1","1","1","0","1"
"99","Wofford College",99,"Spartanburg","SC","29303-3663","34.957914","-81.934572","0.7739",2,"11","1194",49150,"0","1","0","1","0","1","1","1","1","1","1"
